SapCode ,SPU Id ,ML Exclusion,Month,ML Forecast,Global Lag 0 PBU Consensus FC,Shipped Units
ABC,RE000001DE,Y,1,15,2,12
ABC,RE000001PL,Y,1,2,1,8
ABC,RE000002FR,N,1,0,0,0
ABC,RE000003FR,N,1,1,0,0
ABC,RE000004FR,N,1,0,0,0
ABC,RE000999AE,Y,1,0,15,415
ABC,RE001030NL,Y,1,0,0,0
ABC,RE004260FR,N,1,355,715,295
ABC,RE009000SE,N,1,0,0,0
ABC,RE015130FR,Y,1,188,0,60
ABC,RE023010BE,N,1,0,0,0
ABC,RE040010NL,N,1,0,0,0
ABC,RE099AAAAT,N,1,39,30,9
ABC,RE099AAAAU,Y,1,0,0,0
ABC,RE099AAABE,N,1,115,148,54
ABC,RE099AAABG,N,1,27,19,83
ABC,RE099AAACH,Y,1,32,74,99
ABC,RE099AAACZ,N,1,16,115,1
ABC,RE099AAADE,N,1,256,314,136
ABC,RE099AAADK,N,1,163,93,66
ABC,RE099AAAES,Y,1,521,702,543
ABC,RE099AAAFI,N,1,0,0,0
ABC,RE099AAAFR,N,1,1056,1012,1175
ABC,RE099AAAGB,N,1,263,177,212
ABC,RE099AAAGR,N,1,42,31,36
ABC,RE099AAAHU,N,1,20,41,19
ABC,RE099AAAIE,Y,1,0,0,0
ABC,RE099AAAIL,Y,1,0,0,0
ABC,RE099AAAIT,N,1,986,681,631
ABC,RE099AAAJP,Y,1,0,0,0
ABC,RE099AAALU,N,1,43,47,24
ABC,RE099AAAMD,N,1,0,3,0
ABC,RE099AAANL,N,1,54,63,48
ABC,RE099AAANO,N,1,0,0,0
ABC,RE099AAANZ,Y,1,0,0,0
ABC,RE099AAAPL,N,1,169,41,26
ABC,RE099AAAPT,Y,1,9,5,8
ABC,RE099AAAQA,Y,1,0,0,0
ABC,RE099AAAR4,Y,1,0,0,0
ABC,RE099AAARO,N,1,50,27,0
ABC,RE099AAARS,N,1,17,12,7
ABC,RE099AAARU,Y,1,0,0,0
ABC,RE099AAASE,N,1,0,0,0
ABC,RE099AAASI,N,1,67,28,25
ABC,RE099AAASK,N,1,7,19,8
ABC,RE099AAATR,Y,1,17,19,16
ABC,RE099AAAUA,N,1,0,0,0
ABC,RE099AAAUS,Y,1,0,0,0
ABC,RE100AAAGB,N,1,0,0,0
ABC,RE115000DZ,Y,1,0,0,0
ABC,RE123456PL,N,1,150,198,276
ABC,RE138000TR,Y,1,0,0,0
ABC,RE226000CN,N,1,0,0,0
ABC,RE256000CY,N,1,0,0,0
ABC,RE277000AE,Y,1,0,0,0
ABC,RE286000EG,Y,1,0,0,0
ABC,RE328000GH,Y,1,0,0,0
ABC,RE391000IQ,Y,1,0,0,0
ABC,RE628000CN,Y,1,0,0,0
ABC,RE637000KR,Y,1,0,0,0
ABC,RE641000TW,Y,1,0,0,0
ABC,RE647000TH,Y,1,0,0,0
ABC,RE657000ID,Y,1,0,0,0
ABC,RE659000MX,Y,1,0,0,0
ABC,RE664000PH,Y,1,0,0,0
ABC,RE672000IN,Y,1,0,0,0
ABC,RE677000SG,Y,1,0,0,0
ABC,RE684000MY,Y,1,0,0,0
ABC,RE775000SI,N,1,98,73,47
ABC,RE999000TR,Y,1,0,0,0
ABC,RE999000ZA,N,1,0,0,0
ABC,RE999900AE,Y,1,0,0,0
ABC,REAHBMW0DE,N,1,25,35,19
ABC,REAHDAIMDE,Y,1,16,0,0
ABC,REAHOTHEDE,N,1,289,998,601
ABC,REAHTYSYDE,Y,1,0,0,0
ABC,REAHVW00DE,Y,1,212,0,260
ABC,REATU000DE,N,1,1528,764,4200
ABC,REATYSE0FR,N,1,1440,1234,2239
ABC,REAXLE00GB,Y,1,480,494,229
ABC,REBDC000AE,Y,1,0,0,0
ABC,REBOND00GB,Y,1,107,95,29
ABC,RECD0000NO,Y,1,0,0,0
ABC,REDELTICDE,Y,1,213,250,16
ABC,REDELTICFR,Y,1,257,107,165
ABC,REDIRECTZA,N,1,0,0,0
ABC,REDISTRIFR,N,1,98,112,273
ABC,REECOMFR1C,Y,1,2,2,0
ABC,REENIS00PL,Y,1,59,66,12
ABC,REEQUITYDE,N,1,666,889,586
ABC,REETEL00GB,Y,1,274,90,93
ABC,REEXPORTRU,Y,1,0,0,0
ABC,REFINTYRIT,N,1,114,60,152
ABC,REFSD000DE,N,1,0,0,0
ABC,REGB2000GB,Y,1,248,101,257
ABC,REGDHSOTDE,N,1,876,1058,368
ABC,REGROUPPGB,N,1,68,31,125
ABC,REGRUPO0ES,N,1,0,0,0
ABC,REKEYAC0GB,N,1,0,0,0
ABC,REKRANJIIT,N,1,71,96,78
ABC,REMODISTCZ,N,1,0,0,0
ABC,REMORET0CZ,N,1,0,0,0
ABC,RENORAUTES,Y,1,56,23,29
ABC,REPUBLICGR,N,1,0,0,0
ABC,RESELLTHCZ,N,1,135,0,18
ABC,RESELLTHHU,N,1,21,0,1
ABC,RESELLTHSK,N,1,11,0,4
ABC,RESSA000ZA,N,1,0,0,0
ABC,RESSA001ZA,N,1,0,0,0
ABC,RESSA002ZA,N,1,0,0,0
ABC,RESSA003ZA,N,1,0,0,0
ABC,RESSA004ZA,N,1,0,0,0
ABC,RESSA005ZA,N,1,0,0,0
ABC,RESSA006ZA,N,1,0,0,0
ABC,RESSA007ZA,N,1,0,0,0
ABC,RESSA008ZA,N,1,0,0,0
ABC,RESSA009ZA,N,1,0,0,0
ABC,REWHOLESDE,N,1,1773,1601,913
ABC,REWHOLESFR,N,1,0,0,0
ABC,REWHTYSYDE,Y,1,262,208,179
ABC,REZ29000ZA,N,1,0,0,0
ABC,REZ38000B1,N,1,0,0,0
ABC,REZ40000B1,N,1,0,0,0
ABC,REZ42000B1,N,1,1,0,4
ABC,REZ50000NL,N,1,420,549,1120
ABC,REZ61000CA,Y,1,0,0,0
ABC,REZ67000GB,Y,1,0,0,0
ABC,REZA1000ZA,Y,1,0,0,0
ABC,REZA2000ZA,Y,1,0,0,0
ABC,REZA3000ZA,Y,1,0,0,0
ABC,REZA4000ZA,Y,1,0,0,0
ABC,REZA5000ZA,Y,1,0,0,0
ABC,NA,N,2,0,0,0
ABC,RE000001DE,Y,2,7,2,0
ABC,RE000001PL,Y,2,2,1,0
ABC,RE000002FR,N,2,0,0,0
ABC,RE000003FR,N,2,1,0,0
ABC,RE000004FR,N,2,0,0,0
ABC,RE000999AE,Y,2,37,44,350
ABC,RE001030NL,Y,2,0,0,0
ABC,RE004260FR,N,2,361,629,216
ABC,RE009000SE,N,2,0,0,0
ABC,RE015130FR,Y,2,149,116,-87
ABC,RE023010BE,N,2,0,0,0
ABC,RE040010NL,N,2,0,0,0
ABC,RE099AAAAT,N,2,59,87,57
ABC,RE099AAAAU,Y,2,0,0,0
ABC,RE099AAABE,N,2,131,162,162
ABC,RE099AAABG,N,2,87,79,66
ABC,RE099AAACH,Y,2,47,40,45
ABC,RE099AAACZ,N,2,12,29,9
ABC,RE099AAADE,N,2,298,309,203
ABC,RE099AAADK,N,2,137,65,95
ABC,RE099AAAES,Y,2,561,580,660
ABC,RE099AAAFI,N,2,0,0,0
ABC,RE099AAAFR,N,2,1062,1243,761
ABC,RE099AAAGB,N,2,122,91,151
ABC,RE099AAAGR,N,2,22,20,49
ABC,RE099AAAHU,N,2,17,29,53
ABC,RE099AAAIE,Y,2,0,0,4
ABC,RE099AAAIL,Y,2,0,0,0
ABC,RE099AAAIT,N,2,979,1137,1406
ABC,RE099AAAJP,Y,2,0,72,72
ABC,RE099AAALU,N,2,51,42,35
ABC,RE099AAAMD,N,2,1,2,0
ABC,RE099AAANL,N,2,68,111,76
ABC,RE099AAANO,N,2,0,0,0
ABC,RE099AAANZ,Y,2,0,0,0
ABC,RE099AAAPL,N,2,208,110,84
ABC,RE099AAAPT,Y,2,8,6,17
ABC,RE099AAAQA,Y,2,0,0,0
ABC,RE099AAAR4,Y,2,0,0,0
ABC,RE099AAARO,N,2,123,84,191
ABC,RE099AAARS,N,2,13,22,10
